Player,Team,Update,Description
Kristaps Porziņģis,Boston Celtics,"Tue, Jun 25, 2024","Out (Leg) - Porzingis will have surgery for rare leg injury and has no timetable to return, per ESPNâs Tim Bontemps."
Bojan Bogdanović,Brooklyn Nets,"Tue, Apr 30, 2024","Out (Foot) - Bogdanovic will undergo surgery on his left foot and will be re-evaluated in three months, and is also having wrist surgery."
Dariq Whitehead,Brooklyn Nets,"Thu, Jun 13, 2024","Out (Shin) - Whitehead season-ending surgery went successful, there is still no timetable on status for the 2024-2025 season."
Ben Simmons,Brooklyn Nets,"Thu, Jun 13, 2024",Out (Back) - The Nets announced that Simmons will miss the rest of the season with a nerve impingement in his lower back. Still no timetable on return or status for the 2024-2024 season.
LaMelo Ball,Charlotte Hornets,"Wed, Mar 27, 2024","Out (Ankle) - Ball hasn't played since Jan. 26 and will miss the remainder of the season as he continues rehab, per Senior lead NBA Insider Shams Charania."
Tidjane Salaün,Charlotte Hornets,"Mon, Jul 1, 2024",Out (Knee) - Salaun suffered a minor laceration near his knee and will not participate in the Hornetsâ upcoming minicamp in Sacramento.
KJ Simpson,Charlotte Hornets,"Mon, Jul 1, 2024",Out (Hamstring) - Simpson suffered a hamstring injury during the pre-draft process and will not play in Summer League this month.
Mark Williams,Charlotte Hornets,"Thu, Jun 13, 2024",Out (Back) - Williams hasn't played since Dec. 8 2023 against Toronto and remains without a timetable to return.
Lonzo Ball,Chicago Bulls,"Tue, May 14, 2024","Out (Knee) - Ball missed the 2023-24 season while recovering from surgery, but is week by week while recovering via The WAE Show."
Onuralp Bitim,Chicago Bulls,"Thu, Jun 13, 2024",Out (Eye) - Bulls forward Onuralp Bitim has been diagnosed with a detached retina in his right eye and missed the remainder of the postseason. There is no update on his status for the 2024=2025 season.
Zach LaVine,Chicago Bulls,"Sun, Mar 10, 2024",Out (Ankle) - The Chicago Bulls announced guard Zach LaVine will undergo surgery on right foot and be out the rest of the season. Lavine could be ready for the 2024-2025 season depending on rehab.
Patrick Williams,Chicago Bulls,"Thu, Jun 13, 2024",Out (Foot) - The Bulls announced that Williams underwent season ending foot surgery. There is no timetable or status on return.
Ty Jerome,Cleveland Cavaliers,"Thu, Jun 13, 2024",Out (Ankle) - Jerome underwent surgery on his right ankle (Jan. 23) and remains out indefinitely.
Steven Adams,Houston Rockets,"Thu, Jun 13, 2024","Out (Knee) - Adams underwen season-ending surgery on his right knee, there is no timetable on status or return."
Kai Jones,Los Angeles Clippers,"Wed, Jul 3, 2024","Out (Ankle) - Jones will not participate in Summer League due to an ankle injury, Law Murray of The Athletic reports."
Stanley Umude,Milwaukee Bucks,"Thu, Jun 13, 2024","Out (Ankle) - Umude missed rest of the season with a hairline fracture to the right ankle, and has no timetable on his return."
Keita Bates-Diop,New York Knicks,"Thu, Jun 13, 2024",Out (Shin) - Bates-Diop missed the remainder of the season after under going a procedure to address a stress fracture. There is no timetable on his status for the 2024-2025 season.
Julius Randle,New York Knicks,"Thu, Apr 4, 2024",Out (Shoulder) - The Knicks announced that Randle will undergo surgery on his right shoulder and will be re-evaluated in five months.
Mitchell Robinson,New York Knicks,"Tue, May 7, 2024",Out (Ankle) - Robinson has been diagnosed with a stress injury in his left ankle and will be re-evaluated in six to eight weeks.
Robert Williams,Portland Trail Blazers,"Thu, Jun 13, 2024","Out (Knee) - Williams III underwent season-ending knee surgery (Nov. 11, 2023), with no update on timtable or return"
Devin Carter,Sacramento Kings,"Mon, Jul 8, 2024","Out (Shoulder) - Carter will undergo surgery on his left shoulder later this month, according to Shams Charania."
Charles Bassey,San Antonio Spurs,"Thu, Jun 13, 2024","Out (Knee) - The San Antonio Spurs announced C Charles Bassey is out for the season with a torn ACL, there is no timetabe on return or status."
Devin Vassell,San Antonio Spurs,"Thu, Jun 13, 2024","Out (Foot) - Spurs announced Vassell is out for the rest of the season with a foot injury, and has no update on return or status for 2024-2025 season."
Bilal Coulibaly,Washington Wizards,"Thu, Jun 13, 2024",Out (Wrist) - Coulibaly missed the remainder of the regular season after being diagnosed with a right wrist fracture. There is no update on his return or status for the 2024-2025 season.
